"title","description","price","salePercentage","recentReviews","allReviews"
"Ori and the Will of the Wisps","Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.","$9.89","-67%","Overwhelmingly Positive","Overwhelmingly Positive"
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Play solo or in up to 10-player multiplayer co-op! Flashing Lights is an open world police, firefighting and EMS simulator game with plenty of opportunity for role-play or more relaxed fun with friends. Become the law or save lives! Discover leagues of player-created mods!","$8.49","-66%","Very Positive","Very Positive"
"Thronefall","A minimalist game about building and defending your little kingdom.","$5.24","-25%","Overwhelmingly Positive","Overwhelmingly Positive"
"DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition","The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.","$23.99","-40%","Very Positive","Very Positive"
"UNDYING","As Anling’s zombie infection sets in, her days are numbered. The struggle to survive is made ever more paramount as she must ensure her son Cody stays alive. She must teach him how to survive in this new world at any cost…","$13.99","-30%","Mostly Positive","Mostly Positive"
"Headbangers: Rhythm Royale","Headbangers is a light-hearted, Rhythm Battle Royale Game where you and 29 other Pigeons compete against each other, all to complete your quest of claiming the title of Master Headbanger!","$13.39","-33%","Very Positive","Very Positive"
"Bendy and the Dark Revival","Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.","$5.99","-80%","Very Positive","Very Positive"
"CARRION","CARRION is a reverse horror game in which you assume the role of an amorphous creature of unknown origins, stalking and consuming those that imprisoned you.","$5.99","-70%","Very Positive","Very Positive"
"Thymesia","Thymesia is a gruelling action-RPG with fast-paced combat and an intricate plague weapon system. In a kingdom where death spreads, play as a mysterious character known by the code name ""Corvus"". Prey upon your enemies, wield the power of disease and find the truth in your own memories.","$14.99","-40%","Very Positive","Very Positive"
"Boxes: Lost Fragments","As a legendary thief, your next assignment lures you into a grand and lavish mansion. There you find a series of puzzle boxes, designed for an unknown purpose. What should have been a quick in-and-out, gradually turns into your own harrowing struggle for freedom and answers.","$13.49","-10%","Very Positive","Very Positive"
"HELLCARD","Hellcard is a unique cooperative deck builder rogue-like game. Descend into the paper dungeons on your own, recruit computer-controlled companions or join other players' lobbies in fast-paced tactical card battles against the armies of darkness and the Archdemon himself!","$15.79","-21%","Very Positive","Very Positive"
"Moonbreaker","Moonbreaker is a turn-based strategy, tactical skirmish game. The game is designed to be a true digital miniatures experience, set in an expansive sci-fi universe crafted by Brandon Sanderson. Direct Captain and Crew in gripping, ever-changing competition and adventure.","$22.49","-25%","Very Positive","Very Positive"
"BlazBlue Entropy Effect","Artistic and Magnificent Combat Action, incredibly satisfying combos! Numerous characters, hundreds of moves! This unique action roguelite game will bring you an experience that exceeds expectations.","$17.15","-22%","Mostly Positive","Mostly Positive"
"Poppy Playtime - Chapter 3","","$9.89","-34%","Very Positive","Very Positive"
"Ready or Not","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","$37.49","-25%","Mostly Positive","Mostly Positive"
"FINAL FANTASY VII REMAKE INTERGRADE","Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.","$34.99","-50%","Very Positive","Very Positive"
"Destiny 2","Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","$14.99","-75%","Mostly Positive","Mostly Positive"
"Hogwarts Legacy","Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.","$35.99","-40%","Very Positive","Very Positive"
"Dead by Daylight","Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.","$7.99","-60%","Very Positive","Very Positive"
"Hell Let Loose","Join the ever expanding experience of Hell Let Loose - a hardcore World War Two first person shooter with epic battles of 100 players with infantry, tanks, artillery, a dynamically shifting front line and a unique resource based RTS-inspired meta-game.","$42.24","-35%","Very Positive","Very Positive"
"HELLDIVERS™ 2 - Upgrade to Super Citizen Edition","","$59.99","","",""
"Arms Trade Tycoon: Tanks","Arms Trade Tycoon: Tanks is a unique combination of tank design and tycoon game. It puts you in charge of an arms trading company specialized in tanks from WWI to the modern era. Research, design, sell and follow your tanks in battle to make your own history!","","","",""
"Vampire: The Masquerade - Justice","Become a vampire. Strike from the darkness and drink the blood of your prey. Use stealth, persuasion, and an arsenal of upgradable abilities to sneak past enemies undetected or punish the guilty in the seedy backstreets of nighttime Venice.","","","",""
"Halo Infinite","From one of gaming's most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience.","$23.99","-60%","Mostly Positive","Mostly Positive"
"CLeM","CLeM is a narrative-driven puzzle adventure game with a dark twist. Wake up in a world where puzzles intertwine with exploration, weaving a unique narrative rooted in alchemy. A voice awakens you. It gives you purpose. To guide you, you find a notebook with mysterious entries and a house to explore.","","","",""
"Shanghai Summer","Shanghai Summer is an adventure game set in the millennium. Our protagonist, Baichuan, goes through a series of ""anomalies"" over the length of twelve days. In his pursuit of the truth, he found that his hopes and regrets from the past finally seem to converge. Will he be able to ""fix"" it for good?","","","",""
"Touhou Danmaku Kagura Phantasia Lost","A rhythm game in which players can play popular arrangements of Touhou Project songs. A rebuild of ""Touhou Danmaku Kagura"" as a stand-alone version with a completely new storyline.","","","",""
"KONOSUBA - God's Blessing on this Wonderful World! Love For These Clothes Of Desire!","It's time for a Visual Novel Quest with a twist! Join Kazuma, a reincarnated adventurer, and spend turbulent days with his unfortunate party members. Prepare for waifus, dress-up and resource management and get ready for an Isekai comedy that’s out of this world!","","","",""
"WitchHand","You're a witch, leading your coven into new, unfriendly lands. Use the cards you find to build and expand your civilization. Befriend the local covens or use their bones to fuel your spells. Gather your familiars, the witching hour is nigh.","","","",""
"SpellRogue","SpellRogue is a turn-based, deckbuilding roguelike where you cast powerful spells using your Mana Dice, gain legendary artifacts, upgrade your spells and experiment with potent combinations to annihilate the Voidwalkers corrupting the world.","","","",""
"100 Ninja Cats","100 Ninja Cats - Join the cutest adventure in the Ninja themed locations full of cats! Explore the charming hand-drawn artwork of the Ninja places and Cats as you embark on a quest to find 100 adorable cats hidden throughout the game. Can you find them all?","","","",""
"And the Hero Was Never Seen Again","The Demon King lies defeated at the Hero's hand, but the Hero himself has changed... in more ways than one!","","","",""
"Cats Hidden in Georgia","Find and discover 100 cute cats hidden across Georgia in this hand-drawn hidden object game. Can you find them all?","","","",""
"The Inquisitor","Jesus did not die on the cross, but came down and unleashed vengeance on all the nonbelievers. 1500 years later, an army of Inquisitors brutally enforce the faith. In this dark fantasy adventure you solve intricate cases and unveil abysmal secrets as Inquisitor Mordimer Madderdin.","","","",""
"Lysfanga: The Time Shift Warrior","Your Kingdom’s fate relies on you… you… and you. Rewind time to create clones of your past-selves, and fight with an army of your own. Become legion and triumph over hordes of monsters to rescue Antala in this Hack 'n' Slash game with a tactical twist.","","","",""
"News Tower","Develop your newspaper and become New York’s new media mogul! In this tycoon, build and manage your newspaper from printer to toilet. Create your editorial line and lead your journalists through unique 1930's stories and dig out the latest scoops!","","","",""
"Fight Crab 2","Flip your opponents on their backs in this crustacean wrestling fighting game! Come up with your own strategies and use the deceivingly deep physics engine to your advantage. Challenge mighty foes in Career Mode, or pit your crab against others in online multiplayer.","","","",""
"Ultros","ULTROS is a psychedelic metroidvania where you wake up stranded on The Sarcophagus — a cosmic uterus holding an ancient, demonic being. Trapped in the loop of a black hole, you will have to explore The Sarcophagus and meet its inhabitants to understand the part you play...","$22.49","-10%","",""
"Lords of Exile","Embark on a quest for revenge in Lords of Exile, an 8-bit side-scrolling action platformer set in the far Lands of Exilia. With classic retro mechanics and linear level design in 8-bit graphics.","","","",""
"Arzette: The Jewel of Faramore","A NEW interactive animated adventure! In this action-adventure game, Arzette must explore the Kingdom of Faramore, slay fearsome foes, acquire powerful items, discover secrets, assist colorful characters, and defeat the evil Daimur!","","","",""
"Deep Rock Galactic: Survivor","Deep Rock Galactic: Survivor is a single player survivor-like auto-shooter. Wield the full arsenal of Deep Rock Galactic, take on hordes of lethal aliens, mine riches, and unlock powerful upgrades. It's one dwarf against all of Planet Hoxxes!","","","",""
"Islands of Insight","Islands of Insight is a sublime shared-world puzzle game where you play as a Seeker on a peaceful journey of exploration and discovery. Enjoy countless hours of gameplay as you seek out and solve 10,000+ puzzles at your own pace across an awe-inspiring world of floating islands.","","","",""
"Banishers: Ghosts of New Eden","Hunt ghosts as two memorable characters in a story-driven Action-RPG where your decisions carry dramatic consequences. Torn between honoring your oath to the living and saving your departed partner, how far will you go for love?","$49.99","","",""
"GUNVOLT RECORDS Cychronicle","A new rhythm music game starring the songstresses of the Azure Striker Gunvolt series, Lumen, Lola, and Luxia singing 15 different songs. Follow the notes to the pounding beat and aim for a top score in this electrifying rhythm game!","","","",""
"Tomb Raider I-III Remastered Starring Lara Croft","Play the original three Tomb Raider adventures with all expansions and secret levels in this definitive collection.","$26.99","-10%","",""
"Solium Infernum","Take the Infernal Throne in this hellish turn-based grand strategy game. The Prince of Darkness has vanished, leaving Archfiends to conspire: muster your legions while intoning dark sorceries, devilish schemes, and machiavellian plots. Who will be the new ruler of Hell and ascend the Throne?","","","",""
"Helskate","Helskate is a skateboarding action roguelite. Grind, perform tricks, and chain combos to power up your attacks to slay the monsters of Vertheim. Combine unique weapons and gear to suit your playstyle as you fight, die, and upgrade your abilities to come back to this labyrinth over and over again!","","","",""
"Goat Simulator 3","Pilgor's baaack! Gather your herd and venture forth into Goat Simulator 3; an all-new (at least on Steam), totally realistic, sandbox farmyard experience. Invite up to three friends in local or online co-op, create carnage as a team, or compete in mini-games and then not be friends anymore.","","","",""
"Level Unknown: Backrooms","Embark on a chilling journey into the unknown with the game ""Level Unknown: Backrooms,"" a horror-puzzle set in the mysterious realm of the Backrooms. Test your logical skills and nerves in both a single-player adventure or a multiplayer cooperative mode.","","","",""
"Ready or Not","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","$37.49","-25%","Mostly Positive","Mostly Positive"
"FINAL FANTASY VII REMAKE INTERGRADE","Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.","$34.99","-50%","Very Positive","Very Positive"
"God of War","His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.","$24.99","-50%","Overwhelmingly Positive","Overwhelmingly Positive"
"Colonize","Colonize is a combination of survival game and building strategy that takes place during the colonization period - the 17th century. It tells the story of a settlement in the New World and all the difficulties encountered by the early settlers.","","","",""
"Hogwarts Legacy","Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.","$35.99","-40%","Very Positive","Very Positive"
"Marvel’s Spider-Man Remastered","In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.","$35.99","-40%","Very Positive","Very Positive"
"Marvel’s Spider-Man: Miles Morales","After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it","$29.99","-40%","Very Positive","Very Positive"
"Days Gone","Ride and fight into a deadly, post pandemic America. Play as Deacon St. John, a drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live in this open-world action-adventure game.","$12.49","-75%","Very Positive","Very Positive"
"Ratchet & Clank: Rift Apart","Blast your way through an interdimensional adventure with Ratchet and Clank – now on PC! Help them take on an evil emperor from another reality as you jump between action-packed worlds and beyond at hyper-speed!","$40.19","-33%","Very Positive","Very Positive"
"Ori and the Will of the Wisps","Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.","$9.89","-67%","Overwhelmingly Positive","Overwhelmingly Positive"
"DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition","The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.","$23.99","-40%","Very Positive","Very Positive"
"CRISIS CORE –FINAL FANTASY VII– REUNION","CRISIS CORE -FINAL FANTASY VII- REUNION is a remaster of CRISIS CORE featuring updated graphics, combat systems and soundtrack. Follow the tale of SOLDIER operative Zack Fair, as he discovers the secrets of Shinra's dark experiments.","$29.99","-40%","Very Positive","Very Positive"
"UNCHARTED™: Legacy of Thieves Collection","Play as Nathan Drake and Chloe Frazer in their own standalone adventures as they confront their pasts and forge their own legacies. This game includes the critically acclaimed single-player stories from both UNCHARTED 4: A Thief’s End and UNCHARTED: The Lost Legacy.","$24.99","-50%","Very Positive","Very Positive"
"Thronefall","A minimalist game about building and defending your little kingdom.","$5.24","-25%","Overwhelmingly Positive","Overwhelmingly Positive"
"Overcooked! 2","Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!","$6.24","-75%","Very Positive","Very Positive"
"Dead Space","The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original game’s thrilling vision.","$23.99","-60%","Very Positive","Very Positive"
"CARRION","CARRION is a reverse horror game in which you assume the role of an amorphous creature of unknown origins, stalking and consuming those that imprisoned you.","$5.99","-70%","Very Positive","Very Positive"
"FINAL FANTASY XII THE ZODIAC AGE","FINAL FANTASY XII THE ZODIAC AGE - This revered classic returns, now fully remastered for the first time for PC, featuring all new and enhanced gameplay.","$19.99","-60%","Very Positive","Very Positive"
"Atomic Heart","In a mad and sublime utopian world, take part in explosive encounters. Adapt your fighting style to each opponent, use your environment and upgrade your equipment to fulfill your mission. If you want to reach the truth, you'll have to pay in blood.","$29.99","-50%","Mostly Positive","Mostly Positive"
"Halo Infinite (Campaign)","","$23.99","-60%","Mixed","Mixed"
"Returnal™","BREAK THE CYCLE Fight to survive as this award-winning third-person shooter brings Selene’s story to PC. Take on roguelike challenges. Engage enemies in bullet hell-fuelled clashes. Share your journey through Returnal™ with another player.","$40.19","-33%","Very Positive","Very Positive"
"FINAL FANTASY X/X-2 HD Remaster","FINAL FANTASY X/X-2 HD Remaster celebrates two of the most cherished and beloved entries to the world-renowned franchise, completely remastered in gorgeous High Definition & now available on PC / Windows!","$11.99","-60%","Very Positive","Very Positive"
"The Elder Scrolls V: Skyrim Special Edition","Winner of more than 200 Game of the Year Awards, The Elder Scrolls V: Skyrim Special Edition brings the epic fantasy to life in stunning detail. The Special Edition includes the critically acclaimed game and add-ons with all-new features.","$9.99","-75%","Very Positive","Very Positive"
"STAR WARS™ Empire at War - Gold Pack","Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?","$6.99","-65%","Overwhelmingly Positive","Overwhelmingly Positive"
"FINAL FANTASY XV WINDOWS EDITION","Take the journey, now in ultimate quality. Boasting a wealth of bonus content and supporting ultra high-resolution graphical options and HDR 10, you can now enjoy the beautiful and carefully-crafted experience of FINAL FANTASY XV like never before.","$13.99","-60%","Very Positive","Very Positive"
"Dead by Daylight","Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.","$7.99","-60%","Very Positive","Very Positive"
"Star Wars: Battlefront 2 (Classic, 2005)","Join the rise of Darth Vader’s elite 501st Legion of Stormtroopers as you fight through an all new story-based saga where every action you take impacts the battlefront and, ultimately, the fate of the Star Wars galaxy.","$3.49","-65%","Very Positive","Very Positive"
"Destiny 2: Lightfall + Annual Pass","","$33.00","-67%","Mostly Negative","Mostly Negative"
"STRANGER OF PARADISE FINAL FANTASY ORIGIN","Developed in cooperation between Square Enix and Team NINJA (Koei Tecmo Games), STRANGER OF PARADISE FINAL FANTASY ORIGIN is a hard-core action RPG that takes the FINAL FANTASY series in a new direction. Experience the boldest and most merciless battles in FINAL FANTASY history.","$23.99","-40%","Very Positive","Very Positive"
"Grounded","The world is a vast, beautiful and dangerous place – especially when you have been shrunk to the size of an ant. Can you thrive alongside the hordes of giant insects, fighting to survive the perils of the backyard?","$26.79","-33%","Very Positive","Very Positive"
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Play solo or in up to 10-player multiplayer co-op! Flashing Lights is an open world police, firefighting and EMS simulator game with plenty of opportunity for role-play or more relaxed fun with friends. Become the law or save lives! Discover leagues of player-created mods!","$8.49","-66%","Very Positive","Very Positive"
"LEGO® Star Wars™ - The Complete Saga","Kick Some Brick in I through VI! Play through all six Star Wars movies in one videogame! Adding new characters, new levels, new features and for the first time ever, the chance to build and battle your way through a fun Star Wars galaxy on your PC!","$4.99","-75%","Overwhelmingly Positive","Overwhelmingly Positive"
"Bendy and the Dark Revival","Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.","$5.99","-80%","Very Positive","Very Positive"
"STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition","A game that will show gamers the deepest, darkest side of the Force in a story that puts them on a collision course with Luke Skywalker himself.","$6.99","-65%","Very Positive","Very Positive"
"Thymesia","Thymesia is a gruelling action-RPG with fast-paced combat and an intricate plague weapon system. In a kingdom where death spreads, play as a mysterious character known by the code name ""Corvus"". Prey upon your enemies, wield the power of disease and find the truth in your own memories.","$14.99","-40%","Very Positive","Very Positive"
"Last Train Home","The Great War is over - the fight continues. Command a legion of soldiers, desperately trying to make their way home amidst the chaos of civil war. Lead them through the unforgiving wilderness onboard an armored train. Manage your crew and resources and try to survive.","$26.39","-34%","Very Positive","Very Positive"
"Fallout 76","Bethesda Game Studios welcome you to Fallout 76. Twenty-five years after the bombs fall, you and your fellow Vault Dwellers emerge into post-nuclear America. Explore a vast wasteland in this open-world multiplayer addition to the Fallout story.","$9.99","-75%","Mostly Positive","Mostly Positive"
